yy,gear,area,flag,lat_short,lon_short,school,alb_mt,bet_mt,skj_mt,yft_mt,lat5,lon5
2005,L,WS,VU,25S,175E,0,8.596,0.245,0,0.463,-22.5,177.5
2006,L,WS,VU,25S,175E,0,44.573,0.703,0,3.44,-22.5,177.5
2007,L,WS,VU,25S,175E,0,36.303,0.488,0,3.734,-22.5,177.5
2008,L,WS,VU,25S,175E,0,29.06,1.314,0,3.375,-22.5,177.5
2009,L,WS,VU,25S,175E,0,15.004,0,0,0,-22.5,177.5
2010,L,WS,VU,25S,175E,0,2.475,0,0,0,-22.5,177.5
2011,L,WS,VU,25S,175E,0,6.213,0.262,0,0.715,-22.5,177.5
2012,L,WS,VU,25S,175E,0,3.061,0.249,0,0.498,-22.5,177.5
2017,L,WS,VU,25S,175E,0,34.383,0.448,1.128,0.711,-22.5,177.5
2018,L,WS,VU,25S,175E,0,9.7,0.479,0.043,0.848,-22.5,177.5
2019,L,WS,VU,25S,175E,0,10.71,0.356,0.042,1.243,-22.5,177.5
2020,L,WS,VU,25S,175E,0,0.048,0,0,0,-22.5,177.5
2006,L,WN,CN,30N,175E,0,10.147,2.032,0,0.05,32.5,177.5
2007,L,WN,CN,30N,175E,0,12.454,9.465,0,0.453,32.5,177.5
2012,L,WN,CN,30N,175E,0,5.818,0.524,0,0.338,32.5,177.5
2016,L,WN,CN,30N,175E,0,15.205,4.809,0,1.986,32.5,177.5
2018,L,WN,CN,30N,175E,0,0.24,0.125,0,0.02,32.5,177.5
2019,L,WN,CN,30N,175E,0,11.694,3.418,0,1.684,32.5,177.5
2000,L,WN,JP,30N,175E,0,224.223,50.154,0,14.264,32.5,177.5
2001,L,WN,JP,30N,175E,0,91.436,43.45,0.477,16.012,32.5,177.5
2002,L,WN,JP,30N,175E,0,363.896,149.077,0,35.205,32.5,177.5
2003,L,WN,JP,30N,175E,0,414.369,189.716,0,54.485,32.5,177.5
2004,L,WN,JP,30N,175E,0,433.767,194.688,0,17.709,32.5,177.5
2005,L,WN,JP,30N,175E,0,76.523,64.055,0,6.427,32.5,177.5
2006,L,WN,JP,30N,175E,0,240.731,158.703,0,12.609,32.5,177.5
2007,L,WN,JP,30N,175E,0,64.124,84.922,0,2.626,32.5,177.5
2008,L,WN,JP,30N,175E,0,16.23,10.154,0,1.29,32.5,177.5
2009,L,WN,JP,30N,175E,0,1.952,7.452,0,0.115,32.5,177.5
2010,L,WN,JP,30N,175E,0,1.462,1.432,0,0.031,32.5,177.5
2011,L,WN,JP,30N,175E,0,522.32,73.52,0,8.493,32.5,177.5
2012,L,WN,JP,30N,175E,0,249.474,120.306,0,21.174,32.5,177.5
2013,L,WN,JP,30N,175E,0,628.646,201.287,0,19.448,32.5,177.5
2014,L,WN,JP,30N,175E,0,139.952,45.681,0,0.804,32.5,177.5
2015,L,WN,JP,30N,175E,0,155.883,100.29,0,9.352,32.5,177.5
2016,L,WN,JP,30N,175E,0,25.95,21.437,0,3.681,32.5,177.5
2017,L,WN,JP,30N,175E,0,122.35,108.626,0,19.575,32.5,177.5
2018,L,WN,JP,30N,175E,0,65.05,159.222,0,9.122,32.5,177.5
2019,L,WN,JP,30N,175E,0,74.77,123.517,0,21.965,32.5,177.5
2020,L,WN,JP,30N,175E,0,2.664,6.684,0,0.873,32.5,177.5
2000,P,WN,JP,30N,175E,0,0.1,1.8,38.7,0,32.5,177.5
2001,P,WN,JP,30N,175E,0,0,0,0,0,32.5,177.5
2002,P,WN,JP,30N,175E,0,0,2,0,0,32.5,177.5
2003,P,WN,JP,30N,175E,0,0,0,30.5,0,32.5,177.5
2004,P,WN,JP,30N,175E,0,0,0,0,0,32.5,177.5
2005,P,WN,JP,30N,175E,0,0,0,0,0,32.5,177.5
2017,P,WN,JP,30N,175E,0,0,42.4,28,3.3,32.5,177.5
2008,L,WN,KR,30N,175E,0,0.493,1.428,0,0.251,32.5,177.5
2016,L,WN,PG,30N,175E,0,1.016,1.627,0,0,32.5,177.5
2019,L,WN,PG,30N,175E,0,17.186,63.544,0.306,4.336,32.5,177.5
2019,L,WN,SB,30N,175E,0,10.953,12.966,1.285,1.622,32.5,177.5
2000,L,WN,TW,30N,175E,0,58.189,3.643,0,0,32.5,177.5
2001,L,WN,TW,30N,175E,0,83.114,0.181,0,0,32.5,177.5
2004,L,WN,TW,30N,175E,0,49.506,5.001,1.358,3.085,32.5,177.5
2005,L,WN,TW,30N,175E,0,97.287,13.646,0,5.02,32.5,177.5
2006,L,WN,TW,30N,175E,0,40.612,6.763,0,1.161,32.5,177.5
2007,L,WN,TW,30N,175E,0,244.543,31.557,3.499,3.496,32.5,177.5
2008,L,WN,TW,30N,175E,0,164.827,38.183,3.434,208.496,32.5,177.5
2009,L,WN,TW,30N,175E,0,162.635,31.472,1.793,3.063,32.5,177.5
2010,L,WN,TW,30N,175E,0,148.653,4.488,1.492,2.541,32.5,177.5
2011,L,WN,TW,30N,175E,0,84.022,12.82,0.104,16.407,32.5,177.5
2012,L,WN,TW,30N,175E,0,7.628,7.347,0.231,25.987,32.5,177.5
2013,L,WN,TW,30N,175E,0,12.316,2.313,1.01,0.91,32.5,177.5
2014,L,WN,TW,30N,175E,0,20.749,0,0.098,3.123,32.5,177.5
2015,L,WN,TW,30N,175E,0,1.743,1.23,0,0.587,32.5,177.5
2016,L,WN,TW,30N,175E,0,39.593,10.486,3.057,29.011,32.5,177.5
2017,L,WN,TW,30N,175E,0,171.846,9.659,12.762,90.119,32.5,177.5
2018,L,WN,TW,30N,175E,0,25.737,3.745,0.674,12.084,32.5,177.5
2019,L,WN,TW,30N,175E,0,49.972,18.975,5.184,79.88,32.5,177.5
2020,L,WN,TW,30N,175E,0,76.975,23.331,0.815,78.675,32.5,177.5
2002,L,WN,VU,30N,175E,0,58.592,5.101,0,0.808,32.5,177.5
2003,L,WN,VU,30N,175E,0,24.948,3.028,0,1.404,32.5,177.5
2004,L,WN,VU,30N,175E,0,71.301,15.48,0,4.765,32.5,177.5
2005,L,WN,VU,30N,175E,0,42.52,3.891,0,3.274,32.5,177.5
2006,L,WN,VU,30N,175E,0,56.502,12.604,0,1.191,32.5,177.5
2007,L,WN,VU,30N,175E,0,187.867,10.133,0,0.328,32.5,177.5
2008,L,WN,VU,30N,175E,0,166.329,9.23,0,1.876,32.5,177.5
2009,L,WN,VU,30N,175E,0,55.252,15.99,0,1.096,32.5,177.5
2010,L,WN,VU,30N,175E,0,189.252,14.78,0,0.533,32.5,177.5
2011,L,WN,VU,30N,175E,0,55.077,5.48,0,0.246,32.5,177.5
2013,L,WN,VU,30N,175E,0,3.254,0.262,0.248,0.344,32.5,177.5
2014,L,WN,VU,30N,175E,0,103.485,14.812,3.437,6.917,32.5,177.5
2015,L,WN,VU,30N,175E,0,67.87,63.549,0,3.553,32.5,177.5
2016,L,WN,VU,30N,175E,0,51.948,38.837,0.828,3.918,32.5,177.5
2017,L,WN,VU,30N,175E,0,66.187,47.131,2.502,11.552,32.5,177.5
2018,L,WN,VU,30N,175E,0,155.119,67.576,9.216,36.096,32.5,177.5
2019,L,WN,VU,30N,175E,0,40.268,26.076,8.102,24.703,32.5,177.5
2020,L,WN,VU,30N,175E,0,13.697,25.803,0.822,2.465,32.5,177.5
2006,L,WS,CK,30S,175E,0,15.636,0.447,1.053,0.102,-27.5,177.5
2008,L,WS,CK,30S,175E,0,24.285,0.3,0.185,0.28,-27.5,177.5
2010,L,WS,CK,30S,175E,0,0.088,0,0,0,-27.5,177.5
2018,L,WS,CK,30S,175E,0,42.741,0.821,0.831,0.833,-27.5,177.5
2002,L,WS,CN,30S,175E,0,40.353,0.491,0,0.45,-27.5,177.5
2003,L,WS,CN,30S,175E,0,139.61,11.648,0.268,12.014,-27.5,177.5
2004,L,WS,CN,30S,175E,0,110.364,4.118,0.089,12.591,-27.5,177.5
2005,L,WS,CN,30S,175E,0,100.762,2.974,0.184,2.234,-27.5,177.5
2006,L,WS,CN,30S,175E,0,149.307,1.515,2.123,2.386,-27.5,177.5
2007,L,WS,CN,30S,175E,0,103.35,3.08,0.306,1.494,-27.5,177.5
2010,L,WS,CN,30S,175E,0,738.376,19.47,0,16.119,-27.5,177.5
2011,L,WS,CN,30S,175E,0,202.571,9.033,0,15.313,-27.5,177.5
2012,L,WS,CN,30S,175E,0,314.374,7.182,0,14.372,-27.5,177.5
2013,L,WS,CN,30S,175E,0,69.921,7.856,0,3.558,-27.5,177.5
2014,L,WS,CN,30S,175E,0,198.504,3.596,0,3.007,-27.5,177.5
2015,L,WS,CN,30S,175E,0,157.56,11.52,0,13.213,-27.5,177.5
2016,L,WS,CN,30S,175E,0,94.132,5.506,0,13.737,-27.5,177.5
2017,L,WS,CN,30S,175E,0,35.356,1.583,0,5.447,-27.5,177.5
2018,L,WS,CN,30S,175E,0,114.243,4.734,0,9.558,-27.5,177.5
2019,L,WS,CN,30S,175E,0,32.427,0.822,0,2.589,-27.5,177.5
2020,L,WS,CN,30S,175E,0,214.167,7.485,0,40.262,-27.5,177.5
2004,L,WS,ES,30S,175E,0,0,0.453,0,0,-27.5,177.5
2005,L,WS,ES,30S,175E,0,0,0,0,0,-27.5,177.5
2006,L,WS,ES,30S,175E,0,0,0,0,0,-27.5,177.5
2007,L,WS,ES,30S,175E,0,0,0,0,0,-27.5,177.5
2008,L,WS,ES,30S,175E,0,0,0,0,0,-27.5,177.5
2013,L,WS,ES,30S,175E,0,0.151,1.835,0,0,-27.5,177.5
2014,L,WS,ES,30S,175E,0,0.014,1.103,0,0,-27.5,177.5
2015,L,WS,ES,30S,175E,0,0,1.457,0,0.785,-27.5,177.5
2016,L,WS,ES,30S,175E,0,0.092,1.496,0,2.13,-27.5,177.5
2017,L,WS,ES,30S,175E,0,0.323,3.436,0,3.803,-27.5,177.5
2018,L,WS,ES,30S,175E,0,0.49,2.832,0,2.038,-27.5,177.5
2019,L,WS,ES,30S,175E,0,0.147,0.62,0,0.672,-27.5,177.5
2020,L,WS,ES,30S,175E,0,0.055,0.304,0,0.203,-27.5,177.5
2001,L,WS,FJ,30S,175E,0,46.255,0.833,0,2.671,-27.5,177.5
2002,L,WS,FJ,30S,175E,0,30.039,0.711,0.087,1.098,-27.5,177.5
2003,L,WS,FJ,30S,175E,0,188.607,4.035,0.905,16.729,-27.5,177.5
2004,L,WS,FJ,30S,175E,0,214.897,9.309,3.491,23.022,-27.5,177.5
2005,L,WS,FJ,30S,175E,0,232.688,3.867,3.619,5.65,-27.5,177.5
2006,L,WS,FJ,30S,175E,0,531.724,7.673,2.245,6.548,-27.5,177.5
2007,L,WS,FJ,30S,175E,0,228.582,5.168,1.375,7.462,-27.5,177.5
2008,L,WS,FJ,30S,175E,0,191.944,4.44,1.073,6.167,-27.5,177.5
2009,L,WS,FJ,30S,175E,0,332.872,7.695,2.59,0.54,-27.5,177.5
2010,L,WS,FJ,30S,175E,0,447.077,7.968,4.864,7.711,-27.5,177.5
2011,L,WS,FJ,30S,175E,0,301.534,11.409,2.31,11.978,-27.5,177.5
2012,L,WS,FJ,30S,175E,0,201.347,6.543,2.038,3.551,-27.5,177.5
2013,L,WS,FJ,30S,175E,0,143.836,8.297,0.642,0.545,-27.5,177.5
2014,L,WS,FJ,30S,175E,0,126.107,4.112,4.891,9.142,-27.5,177.5
2015,L,WS,FJ,30S,175E,0,42.521,1.51,0.235,2.816,-27.5,177.5
2016,L,WS,FJ,30S,175E,0,141.564,7.331,1.419,8.587,-27.5,177.5
2017,L,WS,FJ,30S,175E,0,125.479,4.447,3.819,7.096,-27.5,177.5
2018,L,WS,FJ,30S,175E,0,334.45,13.85,14.85,9.389,-27.5,177.5
2019,L,WS,FJ,30S,175E,0,127.289,3.137,0.94,10.461,-27.5,177.5
2020,L,WS,FJ,30S,175E,0,215.982,9.761,13.93,16.814,-27.5,177.5
2004,L,WS,ID,30S,175E,0,41.831,0.846,0,3.943,-27.5,177.5
2000,L,WS,JP,30S,175E,0,0.333,0.092,0,0.026,-27.5,177.5
2001,L,WS,JP,30S,175E,0,127.366,46.691,0.12,7.631,-27.5,177.5
2002,L,WS,JP,30S,175E,0,55.847,40.523,0,4.68,-27.5,177.5
2003,L,WS,JP,30S,175E,0,12.93,6.012,0,12.524,-27.5,177.5
2004,L,WS,JP,30S,175E,0,11.496,27.2,0,5.791,-27.5,177.5
2005,L,WS,JP,30S,175E,0,140.158,179.541,0,27.017,-27.5,177.5
2007,L,WS,JP,30S,175E,0,6.412,22.282,0,0.814,-27.5,177.5
2008,L,WS,JP,30S,175E,0,26.091,22.51,0,0.304,-27.5,177.5
2009,L,WS,JP,30S,175E,0,87.25,64.153,0,0.805,-27.5,177.5
2010,L,WS,JP,30S,175E,0,30.558,9.471,0,0.052,-27.5,177.5
2011,L,WS,JP,30S,175E,0,22.929,25.817,0,0.25,-27.5,177.5
2012,L,WS,JP,30S,175E,0,20.737,27.698,0,0.535,-27.5,177.5
2013,L,WS,JP,30S,175E,0,103.5,136.802,0,1.002,-27.5,177.5
2014,L,WS,JP,30S,175E,0,28.151,14.639,0,4.107,-27.5,177.5
2015,L,WS,JP,30S,175E,0,26.536,30.283,0,6.81,-27.5,177.5
2016,L,WS,JP,30S,175E,0,31.193,30.176,0,10.378,-27.5,177.5
2017,L,WS,JP,30S,175E,0,28.422,29.453,0,2.515,-27.5,177.5
2018,L,WS,JP,30S,175E,0,25.235,14.064,0,6.656,-27.5,177.5
2019,L,WS,JP,30S,175E,0,58.521,18.149,0,26.201,-27.5,177.5
2020,L,WS,JP,30S,175E,0,25.557,4.686,0,7.533,-27.5,177.5
2001,P,WS,JP,30S,175E,0,0,0,0,0,-27.5,177.5
2017,L,WS,KI,30S,175E,0,4.292,0.092,0.04,0.217,-27.5,177.5
2000,L,WS,NZ,30S,175E,0,0,0,0,0,-27.5,177.5
2002,L,WS,NZ,30S,175E,0,0.866,0.118,0.327,0.065,-27.5,177.5
2003,L,WS,NZ,30S,175E,0,35.132,0.925,0.014,6.093,-27.5,177.5
2006,L,WS,NZ,30S,175E,0,0.626,2.155,0,0.379,-27.5,177.5
2012,L,WS,NZ,30S,175E,0,0.013,0.077,0,0,-27.5,177.5
2017,L,WS,NZ,30S,175E,0,0.283,0.644,0,0.827,-27.5,177.5
2015,L,WS,PT,30S,175E,0,0,0,0,0.672,-27.5,177.5
2016,L,WS,PT,30S,175E,0,0.189,2.992,0,8.216,-27.5,177.5
2010,L,WS,SB,30S,175E,0,267.731,3.849,4.781,3.291,-27.5,177.5
2012,L,WS,SB,30S,175E,0,32.873,0.498,0.531,0.684,-27.5,177.5
2014,L,WS,SB,30S,175E,0,272.713,4.716,9.319,22.274,-27.5,177.5
2015,L,WS,SB,30S,175E,0,280.96,8.986,4.296,19.506,-27.5,177.5
2019,L,WS,SB,30S,175E,0,5.672,0.272,0.032,0.934,-27.5,177.5
2020,L,WS,SB,30S,175E,0,57.599,6.363,0.299,5.385,-27.5,177.5
2020,L,WS,TV,30S,175E,0,2.512,0.104,0.375,0.195,-27.5,177.5
2000,L,WS,TW,30S,175E,0,270.513,0.12,0,3.303,-27.5,177.5
2001,L,WS,TW,30S,175E,0,198.206,1.734,0,7.152,-27.5,177.5
2002,L,WS,TW,30S,175E,0,235.921,24.066,0.13,6.502,-27.5,177.5
2003,L,WS,TW,30S,175E,0,593.008,78.303,3.429,77.479,-27.5,177.5
2004,L,WS,TW,30S,175E,0,55.491,11.562,0,18.239,-27.5,177.5
2005,L,WS,TW,30S,175E,0,333.139,46.226,1.839,25.841,-27.5,177.5
2006,L,WS,TW,30S,175E,0,209.504,3.271,0.502,13.742,-27.5,177.5
2007,L,WS,TW,30S,175E,0,165.561,9.452,0.125,8.729,-27.5,177.5
2008,L,WS,TW,30S,175E,0,197.978,17.616,0.022,10.942,-27.5,177.5
2009,L,WS,TW,30S,175E,0,239.225,42.713,0,20.358,-27.5,177.5
2010,L,WS,TW,30S,175E,0,280.257,24.79,0,37.128,-27.5,177.5
2011,L,WS,TW,30S,175E,0,40.414,2.089,0,3.827,-27.5,177.5
2012,L,WS,TW,30S,175E,0,12.742,1.558,0.212,3.219,-27.5,177.5
2013,L,WS,TW,30S,175E,0,0.924,0.431,0.009,1.652,-27.5,177.5
2014,L,WS,TW,30S,175E,0,26.516,2.207,0.681,6.097,-27.5,177.5
2015,L,WS,TW,30S,175E,0,42.425,2.943,0.288,6.352,-27.5,177.5
2016,L,WS,TW,30S,175E,0,87.138,0.495,1.672,29.816,-27.5,177.5
2017,L,WS,TW,30S,175E,0,440.545,12.556,12.951,38.536,-27.5,177.5
2018,L,WS,TW,30S,175E,0,716.338,41.747,17.149,32.409,-27.5,177.5
2019,L,WS,TW,30S,175E,0,39.563,3.018,0.557,4.117,-27.5,177.5
2020,L,WS,TW,30S,175E,0,184.509,14.615,6.537,23.285,-27.5,177.5
2001,L,WS,VU,30S,175E,0,5.516,0.749,0,0.341,-27.5,177.5
2002,L,WS,VU,30S,175E,0,439.07,5.999,0,9.668,-27.5,177.5
2003,L,WS,VU,30S,175E,0,122.197,1.358,0,13.53,-27.5,177.5
2004,L,WS,VU,30S,175E,0,59.28,3.59,0,9.475,-27.5,177.5
2005,L,WS,VU,30S,175E,0,304.986,10.88,0,10.016,-27.5,177.5
2006,L,WS,VU,30S,175E,0,183.385,3.676,0,7.787,-27.5,177.5
2007,L,WS,VU,30S,175E,0,167.241,6.479,0,13.576,-27.5,177.5
2008,L,WS,VU,30S,175E,0,188.193,8.652,0,11.295,-27.5,177.5
2009,L,WS,VU,30S,175E,0,47.127,3.035,0,0.496,-27.5,177.5
2010,L,WS,VU,30S,175E,0,34.321,1.01,0,0.782,-27.5,177.5
2011,L,WS,VU,30S,175E,0,34.367,3.755,0,1.15,-27.5,177.5
2012,L,WS,VU,30S,175E,0,19.882,0.734,0,1.01,-27.5,177.5
2015,L,WS,VU,30S,175E,0,41.327,7.609,0,2.732,-27.5,177.5
2017,L,WS,VU,30S,175E,0,150.829,14.234,0.537,4.479,-27.5,177.5
2018,L,WS,VU,30S,175E,0,209.798,6.605,4.479,5.81,-27.5,177.5
2019,L,WS,VU,30S,175E,0,2.978,0.139,0.032,0.589,-27.5,177.5
2020,L,WS,VU,30S,175E,0,3.73,0.379,0.033,0.244,-27.5,177.5
2006,L,WN,CN,35N,175E,0,12.103,1.023,0,0.028,37.5,177.5
2012,L,WN,CN,35N,175E,0,5.594,0.324,0,0.208,37.5,177.5
2000,L,WN,JP,35N,175E,0,19.414,1.524,0,0.428,37.5,177.5
2001,L,WN,JP,35N,175E,0,77.853,15.524,0.482,5.342,37.5,177.5
2002,L,WN,JP,35N,175E,0,51.199,20.325,0,0.878,37.5,177.5
2003,L,WN,JP,35N,175E,0,349.378,218.995,0,18.757,37.5,177.5
2004,L,WN,JP,35N,175E,0,202.145,120.693,0,3.522,37.5,177.5
2005,L,WN,JP,35N,175E,0,193.206,179.423,0,3.856,37.5,177.5
2006,L,WN,JP,35N,175E,0,65.791,26.186,0,2.447,37.5,177.5
2007,L,WN,JP,35N,175E,0,8.94,7.445,0,0.049,37.5,177.5
2008,L,WN,JP,35N,175E,0,48.212,2.621,0,0.279,37.5,177.5
2009,L,WN,JP,35N,175E,0,18.656,4.427,0,0.058,37.5,177.5
2010,L,WN,JP,35N,175E,0,6.3,21.724,0,0.107,37.5,177.5
2011,L,WN,JP,35N,175E,0,20.407,16.836,0,0.43,37.5,177.5
2012,L,WN,JP,35N,175E,0,5.369,10.33,0,0.079,37.5,177.5
2013,L,WN,JP,35N,175E,0,13.957,13.565,0,0.655,37.5,177.5
2014,L,WN,JP,35N,175E,0,0.165,1.294,0,0.044,37.5,177.5
2015,L,WN,JP,35N,175E,0,111.297,123.263,0,4.366,37.5,177.5
2016,L,WN,JP,35N,175E,0,131.425,69.93,0,19.604,37.5,177.5
2017,L,WN,JP,35N,175E,0,7.52,6.572,0,0.744,37.5,177.5
2018,L,WN,JP,35N,175E,0,3.71,3.514,0,2.115,37.5,177.5
2020,L,WN,JP,35N,175E,0,1.785,16.724,0,1.195,37.5,177.5
2000,P,WN,JP,35N,175E,0,0,0,0,0,37.5,177.5
2002,P,WN,JP,35N,175E,0,0,0,0,0,37.5,177.5
2003,P,WN,JP,35N,175E,0,0,0,0,0,37.5,177.5
2004,P,WN,JP,35N,175E,0,0,0,33.2,0.3,37.5,177.5
2005,P,WN,JP,35N,175E,0,19.1,0.5,8.2,0,37.5,177.5
2006,P,WN,JP,35N,175E,0,1.5,8,322,0,37.5,177.5
2007,P,WN,JP,35N,175E,0,0,0,3,0,37.5,177.5
2009,P,WN,JP,35N,175E,0,15,0,42.9,0,37.5,177.5
2010,P,WN,JP,35N,175E,0,0,0,99,0,37.5,177.5
2011,P,WN,JP,35N,175E,0,4,0,0,0,37.5,177.5
2012,P,WN,JP,35N,175E,0,0,0,1,0,37.5,177.5
2013,P,WN,JP,35N,175E,0,5.2,0,238,0,37.5,177.5
2014,P,WN,JP,35N,175E,0,0,0,7,0,37.5,177.5
2016,P,WN,JP,35N,175E,0,0,0,11,0,37.5,177.5
2017,P,WN,JP,35N,175E,0,0,0,2434.8,1,37.5,177.5
2018,P,WN,JP,35N,175E,0,0,0,84,0.6,37.5,177.5
2019,P,WN,JP,35N,175E,0,1,0,356,0,37.5,177.5
2020,P,WN,JP,35N,175E,0,0,0,11,0,37.5,177.5
2004,L,WN,TW,35N,175E,0,2.123,1.642,0,0.492,37.5,177.5
2006,L,WN,TW,35N,175E,0,44.757,5.109,0,0.377,37.5,177.5
2007,L,WN,TW,35N,175E,0,13.446,1.622,0.062,6.998,37.5,177.5
2008,L,WN,TW,35N,175E,0,19.438,4.767,0.02,32.709,37.5,177.5
2009,L,WN,TW,35N,175E,0,27.763,4.823,0,0.081,37.5,177.5
2010,L,WN,TW,35N,175E,0,0,0.09,0,0,37.5,177.5
2011,L,WN,TW,35N,175E,0,2.227,0.586,0,3.063,37.5,177.5
2012,L,WN,TW,35N,175E,0,13.461,0.831,0,0.093,37.5,177.5
2014,L,WN,TW,35N,175E,0,1.973,0,0.012,0,37.5,177.5
2015,L,WN,TW,35N,175E,0,3.785,1.536,0,0.472,37.5,177.5
2016,L,WN,TW,35N,175E,0,11.879,3.441,0.216,4.346,37.5,177.5
2017,L,WN,TW,35N,175E,0,12.061,0.364,0.042,4.117,37.5,177.5
2018,L,WN,TW,35N,175E,0,55.581,7.111,0.714,10.916,37.5,177.5
2019,L,WN,TW,35N,175E,0,13.787,23.716,0.188,6.326,37.5,177.5
2020,L,WN,TW,35N,175E,0,28.75,15.899,0.935,3.521,37.5,177.5
2004,L,WN,VU,35N,175E,0,1,0.241,0,0,37.5,177.5
2005,L,WN,VU,35N,175E,0,25.224,1.878,0,0.136,37.5,177.5
2006,L,WN,VU,35N,175E,0,105.058,12.051,0,1.614,37.5,177.5
2007,L,WN,VU,35N,175E,0,23.355,0.492,0,0,37.5,177.5
2008,L,WN,VU,35N,175E,0,4.75,0.153,0,0.164,37.5,177.5
2009,L,WN,VU,35N,175E,0,2.1,0.44,0,0,37.5,177.5
2011,L,WN,VU,35N,175E,0,0.21,0.317,0,0,37.5,177.5
2012,L,WN,VU,35N,175E,0,0.987,0,0,0,37.5,177.5
2020,L,WN,VU,35N,175E,0,8.175,3.275,0.22,0.352,37.5,177.5
2012,L,WS,CN,35S,175E,0,7.299,0.27,0,0,-32.5,177.5
2015,L,WS,CN,35S,175E,0,19.14,2.23,0,1.752,-32.5,177.5
2016,L,WS,CN,35S,175E,0,3.6,0.569,0,0.421,-32.5,177.5
2018,L,WS,CN,35S,175E,0,7.836,0.655,0,1.049,-32.5,177.5
2004,L,WS,ES,35S,175E,0,0,0.746,0,0,-32.5,177.5
2005,L,WS,ES,35S,175E,0,0,0,0,0,-32.5,177.5
2006,L,WS,ES,35S,175E,0,0,0,0,0,-32.5,177.5
2007,L,WS,ES,35S,175E,0,0,0,0,0,-32.5,177.5
2013,L,WS,ES,35S,175E,0,0.208,7.698,0,0,-32.5,177.5
2014,L,WS,ES,35S,175E,0,0.353,11.072,0,0,-32.5,177.5
2015,L,WS,ES,35S,175E,0,0,0.4,0,0,-32.5,177.5
2016,L,WS,ES,35S,175E,0,0.01,1.268,0,0.288,-32.5,177.5
2017,L,WS,ES,35S,175E,0,0,0.456,0,0,-32.5,177.5
2018,L,WS,ES,35S,175E,0,0.022,0.569,0,0.057,-32.5,177.5
2020,L,WS,ES,35S,175E,0,0.019,0.289,0,0,-32.5,177.5
2009,L,WS,FJ,35S,175E,0,0.4,0.045,0,0.24,-32.5,177.5
2000,L,WS,JP,35S,175E,0,61.94,25.539,0,20.473,-32.5,177.5
2001,L,WS,JP,35S,175E,0,88.298,72.512,0.049,3.478,-32.5,177.5
2002,L,WS,JP,35S,175E,0,5.12,1.466,0,0.907,-32.5,177.5
2003,L,WS,JP,35S,175E,0,23.309,53.903,0,8.146,-32.5,177.5
2004,L,WS,JP,35S,175E,0,28.817,51.952,0,12.571,-32.5,177.5
2005,L,WS,JP,35S,175E,0,108.443,171.91,0,7.52,-32.5,177.5
2006,L,WS,JP,35S,175E,0,12.253,7.399,0,0.26,-32.5,177.5
2007,L,WS,JP,35S,175E,0,139.018,216.311,0,7.32,-32.5,177.5
2008,L,WS,JP,35S,175E,0,112.434,164.25,0,1.696,-32.5,177.5
2009,L,WS,JP,35S,175E,0,169.271,118.086,0,0.231,-32.5,177.5
2010,L,WS,JP,35S,175E,0,35.553,16.5,0,0.052,-32.5,177.5
2011,L,WS,JP,35S,175E,0,131.87,219.096,0,1.403,-32.5,177.5
2012,L,WS,JP,35S,175E,0,112.054,211.503,0,1.11,-32.5,177.5
2013,L,WS,JP,35S,175E,0,22.874,38.183,0,0,-32.5,177.5
2014,L,WS,JP,35S,175E,0,68.55,61.209,0,0.144,-32.5,177.5
2015,L,WS,JP,35S,175E,0,32.953,74.342,0,2.103,-32.5,177.5
2016,L,WS,JP,35S,175E,0,69.491,175.352,0,19.325,-32.5,177.5
2017,L,WS,JP,35S,175E,0,73.711,84.738,0,3.737,-32.5,177.5
2018,L,WS,JP,35S,175E,0,171.326,122.203,0,6.876,-32.5,177.5
2019,L,WS,JP,35S,175E,0,70.441,33.387,0,5.305,-32.5,177.5
2020,L,WS,JP,35S,175E,0,35.394,24.288,0,1.762,-32.5,177.5
2001,P,WS,JP,35S,175E,0,0,0,0,0,-32.5,177.5
2003,P,WS,JP,35S,175E,0,0,1.1,0.8,0.2,-32.5,177.5
2000,L,WS,NZ,35S,175E,0,158.03,136.545,0.219,25.161,-32.5,177.5
2001,L,WS,NZ,35S,175E,0,185.797,106.966,0.719,25.486,-32.5,177.5
2002,L,WS,NZ,35S,175E,0,94.735,32.955,3.104,1.248,-32.5,177.5
2003,L,WS,NZ,35S,175E,0,83.128,22.262,0.345,1.65,-32.5,177.5
2004,L,WS,NZ,35S,175E,0,9.239,7.654,0.262,0.627,-32.5,177.5
2005,L,WS,NZ,35S,175E,0,9.958,11.298,0.049,0.259,-32.5,177.5
2006,L,WS,NZ,35S,175E,0,8.697,19.884,0.02,3.098,-32.5,177.5
2007,L,WS,NZ,35S,175E,0,9.872,18.379,0.011,2.682,-32.5,177.5
2008,L,WS,NZ,35S,175E,0,33.096,20.734,0.016,0.53,-32.5,177.5
2009,L,WS,NZ,35S,175E,0,30.849,42.149,0.041,0.545,-32.5,177.5
2010,L,WS,NZ,35S,175E,0,33.249,18.949,0.051,0.58,-32.5,177.5
2011,L,WS,NZ,35S,175E,0,12.224,26.803,0.02,0.088,-32.5,177.5
2012,L,WS,NZ,35S,175E,0,5.86,9.709,0.02,0.045,-32.5,177.5
2013,L,WS,NZ,35S,175E,0,7.226,8.551,0.075,0,-32.5,177.5
2014,L,WS,NZ,35S,175E,0,0.728,1.945,0,0,-32.5,177.5
